Number_of_children_ever_born,Wifes_age,Wifes_education,Husbands_education,Wifes_religion,Wifes_now_working,Husbands_occupation,Standard-of-living_index,Media_exposure,Contraceptive_method_used
3,24,2,3,1,1,2,3,0,1
10,45,1,3,1,1,3,4,0,1
7,43,2,3,1,1,3,4,0,1
9,42,3,2,1,1,3,3,0,1
8,36,3,3,1,1,3,2,0,1
0,19,4,4,1,1,3,3,0,1
6,38,2,3,1,1,3,2,0,1
1,21,3,3,1,0,3,2,0,1
3,27,2,3,1,1,3,4,0,1
8,45,1,1,1,1,2,2,1,1
2,38,1,3,1,0,3,3,1,1
4,42,1,4,1,1,1,3,0,1
1,44,4,4,1,0,1,4,0,1
1,42,2,4,1,0,3,3,0,1
2,38,3,4,1,1,2,3,0,1
0,26,2,4,1,1,4,1,0,1
7,48,1,1,1,1,2,4,0,1
6,39,2,2,1,1,2,4,0,1
8,37,2,2,1,1,2,3,0,1
5,39,2,1,1,1,2,1,1,1
1,26,3,4,1,0,4,1,0,1
0,24,3,4,1,0,3,1,0,1
1,46,4,4,0,1,1,4,0,1
1,39,4,4,1,1,1,4,0,1
5,48,4,4,1,1,1,4,0,1
8,40,2,4,1,1,3,3,0,1
1,38,4,4,1,0,1,4,0,1
0,29,4,4,1,0,1,4,0,1
0,24,4,4,1,0,2,2,0,1
8,43,1,2,1,1,2,4,0,1
2,31,3,4,1,1,1,4,0,1
2,31,4,4,1,1,3,2,0,1
0,26,2,4,1,0,1,2,0,1
2,33,2,2,1,1,3,1,0,1
1,24,2,3,1,1,3,3,0,1
9,42,1,3,1,1,3,2,1,1
8,43,1,2,1,0,3,1,0,1
4,25,3,3,1,1,3,2,0,1
3,42,2,2,1,1,3,4,0,1
1,28,2,2,1,1,2,4,0,1
3,28,1,1,1,1,3,1,0,1
0,47,2,3,1,0,1,3,0,1
2,48,2,4,1,1,1,3,0,1
2,40,4,4,0,1,1,4,0,1
1,28,2,2,1,1,3,2,0,1
1,25,1,4,1,1,2,1,0,1
2,32,4,4,1,1,2,3,0,1
0,45,4,4,1,1,2,4,0,1
1,26,4,4,1,1,1,4,0,1
0,26,4,4,1,0,1,4,0,1
0,31,4,4,1,0,1,4,0,1
7,49,4,4,0,1,2,4,0,1
8,40,3,4,1,1,3,3,0,1
1,34,4,4,0,0,2,3,0,1
5,36,2,4,1,1,2,3,0,1
2,20,2,2,1,1,2,2,1,1
5,43,4,4,1,0,1,4,0,1
7,37,3,4,1,1,2,1,0,1
0,21,2,3,1,1,3,4,0,1
6,49,4,4,1,1,1,2,0,1
10,42,3,3,1,1,3,3,0,1
1,20,2,3,1,1,2,3,0,1
2,47,1,2,1,0,1,3,0,1
1,22,2,3,1,1,2,1,0,1
1,27,2,4,1,0,1,3,0,1
1,24,2,4,1,1,3,1,0,1
